index,column,value_true,value_pred,err_percent
1,SF_6652_19,1077.7096590180001,1061.15951636096,1.5356773059007858
2,SF_6651_19,-664.1571265411,-701.5751102606458,5.633905325147533
3,SF_6650_19,-3454.46674751,-3523.972490286675,2.0120541854043106
4,SF_6649_19,-7930.760521199999,-7999.731148489588,0.8696596890704407
5,SF_6648_19,-14590.414391,-14686.704040244816,0.6599514356782894
6,SF_6647_19,-23648.157283,-23777.672651941146,0.5476763681466649
7,SF_6646_19,-35133.406876,-35285.18032211291,0.4319918266070165
8,SF_6645_19,-48679.35364,-48849.53613905271,0.34959892917080504
9,SF_6644_19,-62978.00001900001,-63176.88109196249,0.31579452015383314
10,SF_6643_19,-75717.18878600001,-75897.61010581437,0.2382831728265575
11,SF_6642_19,-79650.17336100001,-79753.30949915246,0.1294863950703555
12,SF_6641_19,-64167.557449,-64166.1631857318,-0.002172847656402041
13,SF_6624_19,28211.434807999998,28308.241313550985,-0.3431463383901878
14,SF_6623_19,115325.75242399999,115598.53207810252,-0.2365296981541859
15,SF_6622_19,122793.249227,123149.18582220862,-0.2898665826088091
16,SF_6621_19,94014.66156299999,94310.30729338313,-0.31446768564393185
17,SF_6620_19,56195.362212,56384.27754179381,-0.33617601588030865
18,SF_6619_19,28126.662382,28286.845239689483,-0.5695053878557417
19,SF_6618_19,15955.193293000002,16040.72398966796,-0.536068069482323
20,SF_6617_19,17751.715189000002,17814.340881232798,-0.3527867114024127
21,SF_6616_19,30094.461277000002,30159.801060714097,-0.21711564501083547
22,SF_6615_19,32198.772362999996,32250.476096923736,-0.1605767242950942
23,SF_6614_19,20681.808355999998,20704.067199899364,-0.10762523042579433
24,SF_6613_19,9764.9792428,9762.339389855068,0.027033881786066666
25,SF_6612_19,-2213.414916147,-2277.009756861685,2.873154972018888
26,SF_6611_19,-15119.317477,-15201.644483981541,0.5445153665618788
27,SF_6610_19,-29710.032406,-29760.639102401947,0.170335379343875
28,SF_6609_19,-44387.453988,-44456.76635849023,0.15615306637990592
29,SF_6608_19,-58678.500143000005,-58755.01821063373,0.13040222133703264
30,SF_6607_19,-72405.940886,-72473.9287201361,0.09389814330725639
31,SF_6606_19,-82583.20229700001,-82637.15949853977,0.0653367755656978
32,SF_6605_19,-80809.364829,-80778.5229916114,-0.038166167317189574
33,SF_6604_19,991.65273117074,846.8256111648143,14.604620695688862
34,SF_6581_19,102396.83792,102655.03833503598,-0.25215662932648075
35,SF_6580_19,83862.172391,84132.81116752511,-0.322718537820942
36,SF_6579_19,72876.32846599999,73180.3003781402,-0.4171065125516272
37,SF_6578_19,71725.38395100001,71916.74352610351,-0.2667947727323874
38,SF_6577_19,59162.23951199999,59296.98081788267,-0.2277488259303451
39,SF_6576_19,32763.368413000004,32892.35785210808,-0.3937001760078285
40,SF_6575_19,15506.720733,15539.742062719735,-0.2129485033509512
41,SF_6574_19,-777.2187262929,-809.5154767394498,4.155426182356108
42,SF_6573_19,-26413.79907,-26538.239066678514,0.4711173744781315
43,SF_6572_19,-58404.80581400001,-58555.39121267827,0.25783049284989507
44,SF_6571_19,-94322.535061,-94501.78125278022,0.1900353840832334
45,SF_6570_19,-134426.18550800002,-134659.75977513054,0.17375652388545917
46,SF_6569_19,-132561.00396600002,-132857.23641000988,0.2234687692059419
47,SF_6568_19,-91201.86380999998,-91442.96731476329,0.2643624753827331
48,SF_6567_19,-47989.220381,-48164.96432115923,0.36621545164507047
49,SF_6566_19,8125.244749072699,8117.059505899678,0.1007384198975103
50,SF_6709_19,82265.927403,82486.5369706869,-0.2681663899638429
51,SF_6708_19,82479.06422999999,82658.50352154151,-0.21755738042946376
52,SF_6707_19,74408.600317,74498.7397371365,-0.12114113120321013
53,SF_6706_19,61276.753548999994,61352.36023148021,-0.12338558768417679
54,SF_6705_19,45701.578197999996,45769.20139925966,-0.14796688413404918
55,SF_6704_19,29907.967712,29948.653675757676,-0.13603720637076255
56,SF_6703_19,13747.438083500001,13771.346437450298,-0.1739113411901272
57,SF_6702_19,-2723.7406963999997,-2725.3447288260363,0.05889079045434388
58,SF_6701_19,-18808.044969000002,-18838.5846131196,0.1623754312047602
59,SF_6700_19,-33994.974842999996,-34043.267955636766,0.14205956280245208
60,SF_6699_19,-48599.971796000005,-48675.59243510109,0.15559811313987112
61,SF_6698_19,-62747.993227,-62816.895403363575,0.10980777682293665
62,SF_6697_19,-74370.201854,-74437.59199474084,0.09061443839178794
63,SF_6696_19,-81059.21100599998,-81142.43921476661,0.10267581898923728
64,SF_6695_19,-78135.063704,-78373.54911931067,0.3052220142983806
65,SF_6716_19,-12041.430303436,-12020.998541204664,-0.1696788646902306
66,SF_6717_19,47056.565083999994,47271.90413418254,-0.45761744359825285
67,SF_6718_19,93348.22783399999,93672.03466041764,-0.3468805288874645
68,SF_6719_19,136277.39907599997,136568.76525569014,-0.21380374270841612
69,SF_6720_19,138221.863166,138551.49829079464,-0.23848262296881567
70,SF_6721_19,96497.89257699999,96666.29932314508,-0.17451857408254917
71,SF_6722_19,59860.27994,59954.89856511522,-0.15806579122258876
72,SF_6723_19,28246.571934,28264.27516356346,-0.0626739046593855
73,SF_6724_19,1450.962677644,1467.3389625582015,-1.128649631484146
74,SF_6725_19,-18024.386580000002,-18059.429665824275,0.19442040742266725
75,SF_6726_19,-33609.620368,-33764.43570321275,0.46062803898894755
76,SF_6727_19,-58423.150068,-58615.748830015546,0.3296617210666883
77,SF_6728_19,-69749.66580000002,-69955.9292106112,0.2957195683239818
78,SF_6729_19,-66376.537989,-66684.0456667034,0.46327766861591646
79,SF_6730_19,-76243.68753499999,-76417.86484002469,0.2284481648985596
80,SF_6731_19,-93400.841724,-93637.52570021954,0.25340668440542263
81,SF_6691_19,969.6708346329999,1074.5662013241372,-10.817626244357239
82,SF_6690_19,75501.741581,75460.49640111857,0.054628117203336685
83,SF_6689_19,72826.599864,72854.28474223544,-0.038014788946807314
84,SF_6688_19,61487.38026800001,61570.45444290537,-0.13510768314290603
85,SF_6687_19,49793.148852,49879.64170518985,-0.1737043251611529
86,SF_6686_19,39271.462557,39347.11378665112,-0.19263664942785888
87,SF_6685_19,29516.817265,29681.411081023412,-0.5576272487162105
88,SF_6684_19,19485.981592999997,19557.2290600218,-0.36563447769753554
89,SF_6683_19,8905.9752261,8938.802421810073,-0.36859742899204745
90,SF_6682_19,-3236.5342205202996,-3226.516247494484,-0.30952779557526394
91,SF_6681_19,-16203.3203465,-16228.33214265667,0.15436216541921866
92,SF_6680_19,-31275.260562,-31319.445966581225,0.1412790934023783
93,SF_6679_19,-32175.549145999998,-32258.2846396228,0.25713778262923426
94,SF_6678_19,-21066.114850999995,-21171.126132590896,0.4984843305642411
95,SF_6677_19,-19154.498288,-19276.86944521497,0.6388638082555952
96,SF_6676_19,-31206.728023000003,-31307.553068764646,0.323087526799774
97,SF_6675_19,-59190.256158,-59218.41462201923,0.047572803104729645
98,SF_6674_19,-96780.154984,-96910.06852749403,0.13423572582159807
99,SF_6673_19,-125149.937358,-125320.53785108696,0.13631688252384272
100,SF_6672_19,-97760.84266400001,-97876.03583178463,0.11783160276198645
101,SF_6671_19,-46940.587585,-47012.37890203551,0.15294081461061787
102,SF_6664_19,57505.276577,57501.786494014974,0.006069152593935949
103,SF_6663_19,75579.716645,75637.44941219987,-0.07638658857514849
104,SF_6662_19,74014.31328100002,74098.64656564716,-0.11394185922789632
105,SF_6661_19,63049.233823,63140.529640147935,-0.14480083517625383
106,SF_6660_19,49988.554383,50086.044538592934,-0.1950249548046264
107,SF_6659_19,37394.082589000005,37487.671287095574,-0.2502767593584438
108,SF_6658_19,26327.257002000002,26362.404746498592,-0.13350325290599116
109,SF_6657_19,17640.470307,17719.60519278361,-0.4485985033642063
110,SF_6656_19,11168.043300099998,11234.087216184493,-0.59136515063389
111,SF_6655_19,6797.023587500001,6850.618070727277,-0.7884992973371259
112,SF_6654_19,4065.3890763,4107.503799657132,-1.035933401864242
113,SF_6653_19,2406.1834919999997,2428.374805891637,-0.9222619125024525
